date,status
2024-01-01,success
2024-01-01,success
2024-01-01,failed
2024-01-01,success
2024-01-01,success
2024-01-01,success
2024-01-01,success
2024-01-01,success
2024-01-01,pending
2024-01-01,success
2024-01-02,success
2024-01-02,success
2024-01-02,failed
2024-01-02,success
2024-01-02,success
2024-01-02,success
2024-01-02,success
2024-01-02,pending
2024-01-02,success
2024-01-02,success
2024-01-03,failed
2024-01-03,failed
2024-01-03,failed
2024-01-03,failed
2024-01-03,failed
2024-01-03,success
2024-01-03,failed
2024-01-03,pending
2024-01-03,failed
2024-01-03,failed
